"time","surv","nrisk","nevent","arm"
3.00342231348392,0.998291784681412,248913,0,"not linked"
3.00616016427105,0.998291784681412,248624,0,"not linked"
3.00889801505818,0.998291784681412,248282,0,"not linked"
3.01163586584531,0.998287758954191,247978,1,"not linked"
3.01437371663244,0.998287758954191,247762,0,"not linked"
3.01711156741958,0.998287758954191,247542,0,"not linked"
3.01984941820671,0.998287758954191,247505,0,"not linked"
3.02258726899384,0.998287758954191,247376,0,"not linked"
3.02532511978097,0.998287758954191,247122,0,"not linked"
3.0280629705681,0.998287758954191,246763,0,"not linked"
3.03080082135524,0.998287758954191,246464,0,"not linked"
3.03353867214237,0.998287758954191,246230,0,"not linked"
3.0362765229295,0.998287758954191,245991,0,"not linked"
3.03901437371663,0.998279641242605,245953,2,"not linked"
3.04175222450376,0.998279641242605,245829,0,"not linked"
3.0444900752909,0.998279641242605,245552,0,"not linked"
3.04722792607803,0.998275570635972,245241,1,"not linked"
3.04996577686516,0.998275570635972,244939,0,"not linked"
3.05270362765229,0.998275570635972,244594,0,"not linked"
3.05544147843943,0.998271484232935,244292,1,"not linked"
3.05817932922656,0.998271484232935,244237,0,"not linked"
3.06091718001369,0.998271484232935,244083,0,"not linked"
3.06365503080082,0.998271484232935,243761,0,"not linked"
3.06639288158795,0.998271484232935,243371,0,"not linked"
3.06913073237509,0.998271484232935,243004,0,"not linked"
3.07186858316222,0.998271484232935,242730,0,"not linked"
3.07460643394935,0.998271484232935,242521,0,"not linked"
3.07734428473648,0.998271484232935,242455,0,"not linked"
3.08008213552361,0.998271484232935,242326,0,"not linked"
3.08281998631075,0.998271484232935,242040,0,"not linked"
3.08555783709788,0.998271484232935,241698,0,"not linked"
3.08829568788501,0.998267348565736,241381,1,"not linked"
3.09103353867214,0.998267348565736,241130,0,"not linked"
3.09377138945927,0.99826320427963,240878,1,"not linked"
3.09650924024641,0.99826320427963,240826,0,"not linked"
3.09924709103354,0.998259056980462,240702,1,"not linked"
3.10198494182067,0.998254904643998,240409,1,"not linked"
3.1047227926078,0.998254904643998,240058,0,"not linked"
3.10746064339493,0.998254904643998,239747,0,"not linked"
3.11019849418207,0.998254904643998,239496,0,"not linked"
3.1129363449692,0.998254904643998,239230,0,"not linked"
3.11567419575633,0.998254904643998,239193,0,"not linked"
3.11841204654346,0.998254904643998,239083,0,"not linked"
3.1211498973306,0.998254904643998,238788,0,"not linked"
3.12388774811773,0.998246535007585,238542,2,"not linked"
3.12662559890486,0.998246535007585,238254,0,"not linked"
3.12936344969199,0.998246535007585,237988,0,"not linked"
3.13210130047912,0.998246535007585,237765,0,"not linked"
3.13483915126626,0.998246535007585,237744,0,"not linked"
3.13757700205339,0.998242332802035,237553,1,"not linked"
3.14031485284052,0.99823812471531,237220,1,"not linked"
3.14305270362765,0.99823812471531,236868,0,"not linked"
3.14579055441478,0.998233904263581,236524,1,"not linked"
3.14852840520192,0.998233904263581,236261,0,"not linked"
3.15126625598905,0.998233904263581,236034,0,"not linked"
3.15400410677618,0.998233904263581,235967,0,"not linked"
3.15674195756331,0.998233904263581,235838,0,"not linked"
3.15947980835044,0.998233904263581,235475,0,"not linked"
3.16221765913758,0.998225416132665,235207,2,"not linked"
3.16495550992471,0.998225416132665,234918,0,"not linked"
3.16769336071184,0.998225416132665,234663,0,"not linked"
3.17043121149897,0.998225416132665,234458,0,"not linked"
3.17316906228611,0.998225416132665,234409,0,"not linked"
3.17590691307324,0.998225416132665,234270,0,"not linked"
3.17864476386037,0.998225416132665,233990,0,"not linked"
3.1813826146475,0.998225416132665,233643,0,"not linked"
3.18412046543463,0.998225416132665,233330,0,"not linked"
3.18685831622177,0.998225416132665,233073,0,"not linked"
3.1895961670089,0.998225416132665,232858,0,"not linked"
3.19233401779603,0.998225416132665,232824,0,"not linked"
3.19507186858316,0.99822112654603,232709,1,"not linked"
3.19780971937029,0.99822112654603,232373,0,"not linked"
3.20054757015743,0.99822112654603,232006,0,"not linked"
3.20328542094456,0.99822112654603,231692,0,"not linked"
3.20602327173169,0.99822112654603,231448,0,"not linked"
3.20876112251882,0.99822112654603,231198,0,"not linked"
3.21149897330595,0.99822112654603,231163,0,"not linked"
3.21423682409309,0.99822112654603,231058,0,"not linked"
3.21697467488022,0.99822112654603,230696,0,"not linked"
3.21971252566735,0.99822112654603,230381,0,"not linked"
3.22245037645448,0.99822112654603,230012,0,"not linked"
3.22518822724162,0.99822112654603,229691,0,"not linked"
3.22792607802875,0.99822112654603,229489,0,"not linked"
3.23066392881588,0.99822112654603,229441,0,"not linked"
3.23340177960301,0.998216773261832,229303,1,"not linked"
3.23613963039014,0.998212413989151,228987,1,"not linked"
3.23887748117728,0.998208047756767,228621,1,"not linked"
3.24161533196441,0.998208047756767,228301,0,"not linked"
3.24435318275154,0.998208047756767,228006,0,"not linked"
3.24709103353867,0.998208047756767,227702,0,"not linked"
3.2498288843258,0.998203663343893,227672,1,"not linked"
3.25256673511294,0.998194890742017,227573,2,"not linked"
3.25530458590007,0.998194890742017,227244,0,"not linked"
3.2580424366872,0.998194890742017,226915,0,"not linked"
3.26078028747433,0.998194890742017,226513,0,"not linked"
3.26351813826146,0.998194890742017,226254,0,"not linked"
3.2662559890486,0.998194890742017,225987,0,"not linked"
3.26899383983573,0.998194890742017,225954,0,"not linked"
3.27173169062286,0.998186050470035,225829,2,"not linked"
3.27446954140999,0.998168347113578,225536,4,"not linked"
3.27720739219713,0.998168347113578,225194,0,"not linked"
3.27994524298426,0.998163908205654,224868,1,"not linked"
3.28268309377139,0.998163908205654,224544,0,"not linked"
3.28542094455852,0.998163908205654,224332,0,"not linked"
3.28815879534565,0.998163908205654,224275,0,"not linked"
3.29089664613279,0.998163908205654,224150,0,"not linked"
3.29363449691992,0.998159447875482,223787,1,"not linked"
3.29637234770705,0.998159447875482,223461,0,"not linked"
3.29911019849418,0.998159447875482,223208,0,"not linked"
3.30184804928131,0.998159447875482,222990,0,"not linked"
3.30458590006845,0.998159447875482,222757,0,"not linked"
3.30732375085558,0.998159447875482,222694,0,"not linked"
3.31006160164271,0.998159447875482,222538,0,"not linked"
3.31279945242984,0.998159447875482,222180,0,"not linked"
3.31553730321697,0.998159447875482,221885,0,"not linked"
3.31827515400411,0.998154941898803,221519,1,"not linked"
3.32101300479124,0.998154941898803,221188,0,"not linked"
3.32375085557837,0.998154941898803,220879,0,"not linked"
3.3264887063655,0.998154941898803,220810,0,"not linked"
3.32922655715264,0.998154941898803,220734,0,"not linked"
3.33196440793977,0.998154941898803,220371,0,"not linked"
3.3347022587269,0.998154941898803,219964,0,"not linked"
3.33744010951403,0.998154941898803,219635,0,"not linked"
3.34017796030116,0.998154941898803,219312,0,"not linked"
3.3429158110883,0.998154941898803,219074,0,"not linked"
3.34565366187543,0.998154941898803,219027,0,"not linked"
3.34839151266256,0.998154941898803,218884,0,"not linked"
3.35112936344969,0.998150376358516,218628,1,"not linked"
3.35386721423682,0.998145802114429,218211,1,"not linked"
3.35660506502396,0.998145802114429,217839,0,"not linked"
3.35934291581109,0.998145802114429,217540,0,"not linked"
3.36208076659822,0.998145802114429,217295,0,"not linked"
3.36481861738535,0.998141207720787,217253,1,"not linked"
3.36755646817248,0.998141207720787,217103,0,"not linked"
3.37029431895962,0.998141207720787,216796,0,"not linked"
3.37303216974675,0.998141207720787,216413,0,"not linked"
3.37577002053388,0.998141207720787,216106,0,"not linked"
3.37850787132101,0.998141207720787,215824,0,"not linked"
3.38124572210815,0.998141207720787,215572,0,"not linked"
3.38398357289528,0.998141207720787,215531,0,"not linked"
3.38672142368241,0.998141207720787,215289,0,"not linked"
3.38945927446954,0.998141207720787,214918,0,"not linked"
3.39219712525667,0.998141207720787,214516,0,"not linked"
3.39493497604381,0.998141207720787,214164,0,"not linked"
3.39767282683094,0.998136540608947,213867,1,"not linked"
3.40041067761807,0.998136540608947,213551,0,"not linked"
3.4031485284052,0.998136540608947,213496,0,"not linked"
3.40588637919233,0.998136540608947,213354,0,"not linked"
3.40862422997947,0.998136540608947,212986,0,"not linked"
3.4113620807666,0.998136540608947,212532,0,"not linked"
3.41409993155373,0.998136540608947,212206,0,"not linked"
3.41683778234086,0.998136540608947,211907,0,"not linked"
3.41957563312799,0.998136540608947,211675,0,"not linked"
3.42231348391513,0.998136540608947,211637,0,"not linked"
3.42505133470226,0.998136540608947,211493,0,"not linked"
3.42778918548939,0.998136540608947,211146,0,"not linked"
3.43052703627652,0.998136540608947,210714,0,"not linked"
3.43326488706365,0.998136540608947,210338,0,"not linked"
3.43600273785079,0.998136540608947,210042,0,"not linked"
3.43874058863792,0.998127021491867,209712,2,"not linked"
3.44147843942505,0.998127021491867,209657,0,"not linked"
3.44421629021218,0.998122257276113,209505,1,"not linked"
3.44695414099932,0.998117485589795,209176,1,"not linked"
3.44969199178645,0.998112705310744,208799,1,"not linked"
3.45242984257358,0.998112705310744,208436,0,"not linked"
3.45516769336071,0.998112705310744,208121,0,"not linked"
3.45790554414784,0.998112705310744,207840,0,"not linked"
3.46064339493498,0.998112705310744,207793,0,"not linked"
3.46338124572211,0.998112705310744,207683,0,"not linked"
3.46611909650924,0.998112705310744,207372,0,"not linked"
3.46885694729637,0.998107883277287,206990,1,"not linked"
3.4715947980835,0.998103050878132,206545,1,"not linked"
3.47433264887064,0.998103050878132,206256,0,"not linked"
3.47707049965777,0.998103050878132,205938,0,"not linked"
3.4798083504449,0.998098203105542,205889,1,"not linked"
3.48254620123203,0.998098203105542,205769,0,"not linked"
3.48528405201917,0.998098203105542,205322,0,"not linked"
3.4880219028063,0.998098203105542,204990,0,"not linked"
3.49075975359343,0.998098203105542,204679,0,"not linked"
3.49349760438056,0.998098203105542,204354,0,"not linked"
3.49623545516769,0.998098203105542,204085,0,"not linked"
3.49897330595483,0.998098203105542,204033,0,"not linked"
3.50171115674196,0.998098203105542,203916,0,"not linked"
3.50444900752909,0.998098203105542,203621,0,"not linked"
3.50718685831622,0.998098203105542,203213,0,"not linked"
3.50992470910335,0.998098203105542,202833,0,"not linked"
3.51266255989049,0.998098203105542,202521,0,"not linked"
3.51540041067762,0.998098203105542,202187,0,"not linked"
3.51813826146475,0.998098203105542,202134,0,"not linked"
3.52087611225188,0.998098203105542,201988,0,"not linked"
3.52361396303901,0.998098203105542,201636,0,"not linked"
3.52635181382615,0.998088282490454,201217,2,"not linked"
3.52908966461328,0.998088282490454,200861,0,"not linked"
3.53182751540041,0.998083305213938,200529,1,"not linked"
3.53456536618754,0.998078319982053,200208,1,"not linked"
3.53730321697467,0.998078319982053,200150,0,"not linked"
3.54004106776181,0.998078319982053,199987,0,"not linked"
3.54277891854894,0.998073320115706,199621,1,"not linked"
3.54551676933607,0.998068308525019,199153,1,"not linked"
3.5482546201232,0.998063285786815,198710,1,"not linked"
3.55099247091034,0.998063285786815,198405,0,"not linked"
3.55373032169747,0.998063285786815,198118,0,"not linked"
3.5564681724846,0.998063285786815,198064,0,"not linked"
3.55920602327173,0.998058242337649,197893,1,"not linked"
3.56194387405886,0.998058242337649,197606,0,"not linked"
3.564681724846,0.99805318421704,197318,1,"not linked"
3.56741957563313,0.99805318421704,196981,0,"not linked"
3.57015742642026,0.99805318421704,196738,0,"not linked"
3.57289527720739,0.99805318421704,196426,0,"not linked"
3.57563312799452,0.99805318421704,196351,0,"not linked"
3.57837097878166,0.998048097584873,196211,1,"not linked"
3.58110882956879,0.998042999390111,195765,1,"not linked"
3.58384668035592,0.998042999390111,195387,0,"not linked"
3.58658453114305,0.998042999390111,195034,0,"not linked"
3.58932238193018,0.998042999390111,194678,0,"not linked"
3.59206023271732,0.998037866242622,194431,1,"not linked"
3.59479808350445,0.998032731114293,194355,1,"not linked"
3.59753593429158,0.998032731114293,194237,0,"not linked"
3.60027378507871,0.998032731114293,193842,0,"not linked"
3.60301163586585,0.998032731114293,193471,0,"not linked"
3.60574948665298,0.998032731114293,193087,0,"not linked"
3.60848733744011,0.998032731114293,192747,0,"not linked"
3.61122518822724,0.998032731114293,192441,0,"not linked"
3.61396303901437,0.998032731114293,192398,0,"not linked"
3.61670088980151,0.998032731114293,192256,0,"not linked"
3.61943874058864,0.998032731114293,191839,0,"not linked"
3.62217659137577,0.998032731114293,191489,0,"not linked"
3.6249144421629,0.998032731114293,190990,0,"not linked"
3.62765229295003,0.998032731114293,190746,0,"not linked"
3.63039014373717,0.998032731114293,190641,0,"not linked"
3.6331279945243,0.998032731114293,190489,0,"not linked"
3.63586584531143,0.998032731114293,190373,0,"not linked"
3.63860369609856,0.998032731114293,189977,0,"not linked"
3.64134154688569,0.998032731114293,189743,0,"not linked"
3.64407939767283,0.998032731114293,189522,0,"not linked"
3.64681724845996,0.998032731114293,189286,0,"not linked"
3.64955509924709,0.998032731114293,189129,0,"not linked"
3.65229295003422,0.998032731114293,189073,0,"not linked"
3.65503080082136,0.998032731114293,188924,0,"not linked"
3.65776865160849,0.998032731114293,188631,0,"not linked"
3.66050650239562,0.998032731114293,188292,0,"not linked"
3.66324435318275,0.998032731114293,187880,0,"not linked"
3.66598220396988,0.998032731114293,187636,0,"not linked"
3.66872005475702,0.998032731114293,187349,0,"not linked"
3.67145790554415,0.998032731114293,187299,0,"not linked"
3.67419575633128,0.998032731114293,187143,0,"not linked"
3.67693360711841,0.998027387926201,186786,1,"not linked"
3.67967145790554,0.998027387926201,186377,0,"not linked"
3.68240930869268,0.998022022476021,186010,1,"not linked"
3.68514715947981,0.998022022476021,185646,0,"not linked"
3.68788501026694,0.998022022476021,185334,0,"not linked"
3.69062286105407,0.998022022476021,185284,0,"not linked"
3.6933607118412,0.998022022476021,185129,0,"not linked"
3.69609856262834,0.998022022476021,184754,0,"not linked"
3.69883641341547,0.998022022476021,184394,0,"not linked"
3.7015742642026,0.998022022476021,184023,0,"not linked"
3.70431211498973,0.998022022476021,183705,0,"not linked"
3.70704996577687,0.998016581321396,183421,1,"not linked"
3.709787816564,0.998016581321396,183373,0,"not linked"
3.71252566735113,0.998016581321396,183189,0,"not linked"
3.71526351813826,0.998016581321396,182874,0,"not linked"
3.71800136892539,0.998011104003693,182209,1,"not linked"
3.72073921971253,0.998011104003693,181808,0,"not linked"
3.72347707049966,0.998011104003693,181445,0,"not linked"
3.72621492128679,0.998011104003693,181045,0,"not linked"
3.72895277207392,0.998005587173657,180903,1,"not linked"
3.73169062286105,0.998005587173657,180794,0,"not linked"
3.73442847364819,0.998005587173657,180549,0,"not linked"
3.73716632443532,0.998005587173657,180262,0,"not linked"
3.73990417522245,0.998005587173657,179827,0,"not linked"
3.74264202600958,0.998005587173657,179499,0,"not linked"
3.74537987679671,0.998005587173657,179146,0,"not linked"
3.74811772758385,0.998005587173657,179099,0,"not linked"
3.75085557837098,0.998005587173657,178916,0,"not linked"
3.75359342915811,0.998005587173657,178532,0,"not linked"
3.75633127994524,0.998005587173657,178083,0,"not linked"
3.75906913073237,0.99799996976549,177663,1,"not linked"
3.76180698151951,0.99799996976549,177342,0,"not linked"
3.76454483230664,0.99799996976549,177018,0,"not linked"
3.76728268309377,0.99799996976549,176968,0,"not linked"
3.7700205338809,0.99799996976549,176782,0,"not linked"
3.77275838466804,0.997994313067178,176428,1,"not linked"
3.77549623545517,0.997994313067178,175988,0,"not linked"
3.7782340862423,0.997994313067178,175560,0,"not linked"
3.78097193702943,0.997994313067178,175238,0,"not linked"
3.78370978781656,0.997994313067178,174940,0,"not linked"
3.7864476386037,0.997994313067178,174890,0,"not linked"
3.78918548939083,0.997988600743754,174709,1,"not linked"
3.79192334017796,0.997988600743754,174331,0,"not linked"
3.79466119096509,0.997988600743754,173884,0,"not linked"
3.79739904175222,0.997982849841344,173536,1,"not linked"
3.80013689253936,0.997982849841344,173031,0,"not linked"
3.80287474332649,0.997982849841344,172698,0,"not linked"
3.80561259411362,0.997982849841344,172616,0,"not linked"
3.80835044490075,0.997982849841344,172436,0,"not linked"
3.81108829568789,0.997982849841344,172110,0,"not linked"
3.81382614647502,0.997982849841344,171691,0,"not linked"
3.81656399726215,0.997982849841344,171239,0,"not linked"
3.81930184804928,0.997982849841344,170913,0,"not linked"
3.82203969883641,0.997982849841344,170703,0,"not linked"
3.82477754962355,0.997977002125684,170662,1,"not linked"
3.82751540041068,0.997977002125684,170485,0,"not linked"
3.83025325119781,0.997977002125684,170076,0,"not linked"
3.83299110198494,0.997977002125684,169612,0,"not linked"
3.83572895277207,0.997977002125684,169237,0,"not linked"
3.83846680355921,0.997977002125684,168973,0,"not linked"
3.84120465434634,0.997977002125684,168662,0,"not linked"
3.84394250513347,0.997977002125684,168617,0,"not linked"
3.8466803559206,0.997977002125684,168499,0,"not linked"
3.84941820670773,0.997971062811625,168029,1,"not linked"
3.85215605749487,0.997971062811625,167605,0,"not linked"
3.854893908282,0.997971062811625,167239,0,"not linked"
3.85763175906913,0.997971062811625,166966,0,"not linked"
3.86036960985626,0.997971062811625,166633,0,"not linked"
3.86310746064339,0.997971062811625,166556,0,"not linked"
3.86584531143053,0.997965066830714,166440,1,"not linked"
3.86858316221766,0.997965066830714,166045,0,"not linked"
3.87132101300479,0.997965066830714,165626,0,"not linked"
3.87405886379192,0.997965066830714,165270,0,"not linked"
3.87679671457906,0.997965066830714,164988,0,"not linked"
3.87953456536619,0.997965066830714,164663,0,"not linked"
3.88227241615332,0.997965066830714,164590,0,"not linked"
3.88501026694045,0.997965066830714,164271,0,"not linked"
